Skipped row due to ValueError: {'transaction_id': '1', 'date': '2020-10-26', 'customer_id': '926', 'amount': '6478.39', 'type': 'credit', 'description': 'Expect series shake art again our.'}
Skipped row due to ValueError: {'transaction_id': '20', 'date': '2020-02-19', 'customer_id': '33', 'amount': '6018.28', 'type': 'debit', 'description': 'What single suggest now stop.'}
Skipped row due to ValueError: {'transaction_id': '21', 'date': '2020-04-09', 'customer_id': '611', 'amount': '2359.42', 'type': 'transfer', 'description': 'Support do interesting citizen phone energy consider.'}
Skipped row due to ValueError: {'transaction_id': '22', 'date': '2021-03-19', 'customer_id': '988', 'amount': '7626.52', 'type': 'debit', 'description': 'This pass civil education.'}
Skipped row due to ValueError: {'transaction_id': '23', 'date': '2019-10-24', 'customer_id': '383', 'amount': '5356.25', 'type': 'debit', 'description': 'Choose between staff southern fine not manager nothing.'}
Skipped row due to ValueError: {'transaction_id': '24', 'date': '2021-09-02', 'customer_id': '8', 'amount': '2488.02', 'type': 'credit', 'description': 'Speak ever piece whom indicate she.'}
Skipped row due to ValueError: {'transaction_id': '25', 'date': '2022-09-07', 'customer_id': '497', 'amount': '7752.41', 'type': 'credit', 'description': 'She cover impact program physical.'}
Skipped row due to ValueError: {'transaction_id': '26', 'date': '2018-09-04', 'customer_id': '531', 'amount': '987.32', 'type': 'credit', 'description': 'Newspaper region sister whose man fight usually.'}
Skipped row due to ValueError: {'transaction_id': '27', 'date': '2018-05-16', 'customer_id': '355', 'amount': '3919.23', 'type': 'credit', 'description': 'Lead talk military including system sometimes few within.'}
Skipped row due to ValueError: {'transaction_id': '28', 'date': '2021-08-29', 'customer_id': '570', 'amount': '1281.53', 'type': 'transfer', 'description': 'Have focus admit again.'}
Skipped row due to ValueError: {'transaction_id': '29', 'date': '2021-01-18', 'customer_id': '915', 'amount': '1820.42', 'type': 'credit', 'description': 'Write allow on.'}
Skipped row due to ValueError: {'transaction_id': '30', 'date': '2022-06-05', 'customer_id': '69', 'amount': '5771.55', 'type': 'transfer', 'description': 'Relate small employee.'}
Skipped row due to ValueError: {'transaction_id': '31', 'date': '2020-07-10', 'customer_id': '531', 'amount': '3596.93', 'type': 'credit', 'description': 'Wish not live be practice.'}
Skipped row due to ValueError: {'transaction_id': '32', 'date': '2022-07-10', 'customer_id': '343', 'amount': '7107.40', 'type': 'credit', 'description': 'Hour down professor risk wear.'}
Skipped row due to ValueError: {'transaction_id': '33', 'date': '2022-11-16', 'customer_id': '570', 'amount': '483.28', 'type': 'credit', 'description': 'Popular article light indeed.'}
Skipped row due to ValueError: {'transaction_id': '34', 'date': '2018-03-30', 'customer_id': '950', 'amount': '2005.85', 'type': 'transfer', 'description': 'Yet cover consider national your successful computer.'}
